Year,Targets ,State,County,Value,Stage
2018,Other,Massachusetts,"Hampden, MA",5,Applicant
2018,Other,Massachusetts,"Norfolk, MA",12,Applicant
2018,Other,Massachusetts,"Plymouth, MA",9,Applicant
2018,Other,Massachusetts,"Suffolk, MA",13,Applicant
2018,Other,Massachusetts,Other,8,Applicant
2018,Other,New Hampshire,"Carroll, NH",5,Applicant
2018,Other,New Hampshire,"Cheshire, NH",4,Applicant
2018,Other,New Hampshire,"Grafton, NH",4,Applicant
2018,Other,New Hampshire,"Merrimack, NH",12,Applicant
2018,Other,New Hampshire,"Sullivan, NH",3,Applicant
2018,Other,New Hampshire,Other,0,Applicant
2018,Other,Vermont,"Cheshire, NH",1,Applicant
2018,Other,Vermont,"Orange, VT",3,Applicant
2018,Other,Vermont,"Washington, VT",3,Applicant
2018,Other,Vermont,Other,16,Applicant
2018,Other,Rhode Island,Other,4,Applicant
2017,Other,Connecticut,"Litchfield, CT",2,Applicant
2017,Other,Connecticut,"Middlesex, CT",0,Applicant
2017,Other,Connecticut,"New London, CT",4,Applicant
2017,Other,Connecticut,"Windham, CT",2,Applicant
2017,Other,Connecticut,Other,5,Applicant
2017,Other,Massachusetts,"Barnstable, MA",6,Applicant
2017,Other,Massachusetts,"Berkshire, MA",0,Applicant
2017,Other,Massachusetts,"Bristol, MA",1,Applicant
2017,Other,Massachusetts,"Hampden, MA",7,Applicant
2017,Other,Massachusetts,"Norfolk, MA",17,Applicant
2017,Other,Massachusetts,"Plymouth, MA",14,Applicant
2017,Other,Massachusetts,"Suffolk, MA",7,Applicant
2017,Other,Massachusetts,Other,13,Applicant
2017,Other,New Hampshire,"Carroll, NH",11,Applicant
2017,Other,New Hampshire,"Cheshire, NH",3,Applicant
2017,Other,New Hampshire,"Grafton, NH",7,Applicant
2017,Other,New Hampshire,"Merrimack, NH",9,Applicant
2017,Other,New Hampshire,"Sullivan, NH",5,Applicant
2017,Other,New Hampshire,Other,2,Applicant
2017,Other,Vermont,"Cheshire, NH",1,Applicant
2017,Other,Vermont,"Orange, VT",2,Applicant
2017,Other,Vermont,"Washington, VT",3,Applicant
2017,Other,Vermont,Other,9,Applicant
2017,Other,Rhode Island,Other,7,Applicant
